$created,$email,$first_name,$last_name,Abandon Cart Count,Account Created Count,Gender,Registration Date,$city,$region,Last Event,Last Purchase,Last Search,Last Share
2020-03-07T09:22:28,Aaron.Jensen@outlookx.com,Aaron,Jensen,4.0,5.0,Female,2020-03-07T10:39:41,,,Review Payment,2020-03-19T11:33:13,2020-03-29T20:11:56,2020-03-31T23:23:48
2020-03-06T00:08:07,Robert.Hawkins@hotmailx.com,Robert,Hawkins,3.0,6.0,Male,2020-03-07T09:53:57,,,Abandon Cart,2020-03-31T17:58:58,2020-03-31T17:35:51,2020-03-31T17:21:30
2020-03-13T19:42:49,William.Richardson@comcastx.com,William,Richardson,,1.0,Female,2020-03-31T22:21:28,Phoenix,Arizona,Landing Page Loaded,,2020-03-31T22:30:19,
2020-03-05T04:42:16,Jacqueline.Campbell@gmailx.com,Caddric,Dellar,4.0,6.0,Male,2020-03-07T10:07:25,,,Abandon Cart,2020-03-31T12:43:30,2020-03-31T12:14:30,2020-03-31T12:10:46
2020-03-06T02:11:41,Judith.Simmons@outlookx.com,Judith,Simmons,2.0,,,,,,Item Detail Page,2020-03-31T22:49:55,2020-03-31T22:41:19,2020-03-31T22:32:26
2020-03-07T03:55:52,Marvin.Hicks@comcastx.com,Marvin,Hicks,1.0,2.0,Female,2020-03-29T13:56:01,,,Account Created,2020-03-19T13:10:27,,2020-03-19T12:43:32
2020-03-15T17:22:41,Herbert.Armstrong@comcastx.com,Herbert,Armstrong,2.0,2.0,Female,2020-03-16T21:15:57,,,Share Item,2020-03-16T21:58:30,2020-03-17T18:50:28,2020-03-31T23:53:12
2020-03-10T09:20:45,Matthew.Wood@yahoox.com,Matthew,Wood,3.0,2.0,Female,2020-03-12T18:56:04,,,Review Payment,2020-03-16T18:04:51,2020-03-13T14:26:23,2020-03-16T17:43:44
2020-03-15T00:50:18,Juan.Pierce@aolx.com,Juan,Pierce,,3.0,Female,2020-03-17T19:37:28,,,Item Detail Page,2020-04-01T00:11:46,2020-03-17T19:44:51,2020-03-31T23:33:04
2020-03-13T22:52:54,Emily.Gutierrez@comcastx.com,Emily,Gutierrez,2.0,3.0,Male,2020-03-16T10:30:35,Glendale,Arizona,Landing Page Loaded,2020-03-13T22:33:26,2020-03-31T23:03:42,2020-03-31T23:22:49
2020-03-15T01:37:25,Harry.Ryan@yahoox.com,Harry,Ryan,2.0,1.0,Female,2020-03-17T21:47:58,Stockholm,Stockholm,Search,2020-03-17T22:22:47,2020-03-31T23:49:27,2020-03-31T23:46:22
2020-03-14T15:46:36,Clarence.Olson@outlookx.com,Clarence,Olson,2.0,5.0,Female,2020-03-13T22:12:06,Chur,Grisons,Abandon Cart,2020-03-31T11:46:52,2020-03-31T11:23:06,2020-03-31T11:18:38
2020-03-09T13:33:02,Joe.Hudson@yahoox.com,Joe,Hudson,,,,,,,Search,,,
2020-03-07T04:13:21,Adam.Carroll@aolx.com,Adam,Carroll,3.0,2.0,Male,2020-03-29T15:24:44,Suzhou,Jiangsu,Abandon Cart,2020-03-29T15:50:59,2020-03-31T13:30:19,2020-03-29T15:34:39
2020-03-04T22:21:33,Mildred.Hicks@gmailx.com,Nonie,McConnel,4.0,5.0,Male,2020-03-19T13:05:47,,,Abandon Cart,2020-03-29T09:32:10,2020-03-19T13:16:53,2020-03-31T22:41:34
2020-03-12T19:18:19,Antonio.Pierce@yahoox.com,Antonio,Pierce,5.0,5.0,Female,2020-03-12T16:27:58,,,Item Detail Page,2020-04-01T00:23:03,2020-03-31T23:51:27,2020-03-17T17:32:41
2020-03-14T01:44:28,Tina.Hart@aolx.com,Tina,Hart,3.0,2.0,Male,2020-03-16T10:46:15,Dallas,Texas,Abandon Cart,2020-03-31T21:35:18,2020-03-31T20:59:29,2020-03-31T20:50:25
2020-03-07T10:57:51,Joe.Hicks@comcastx.com,Joe,Hicks,3.0,3.0,Female,2020-03-07T22:24:05,,,Account Created,2020-03-19T08:54:34,2020-03-31T23:20:22,2020-03-31T23:36:16
2020-03-10T12:21:57,Jack.Romero@hotmailx.com,Jack,Romero,3.0,4.0,Male,2020-03-12T12:40:28,,,Item Detail Page,2020-03-29T23:13:35,2020-03-29T22:34:59,2020-03-29T22:41:02
2020-03-06T08:44:43,Tammy.Vasquez@comcastx.com,Tammy,Vasquez,5.0,5.0,Female,2020-03-07T13:08:58,,,Abandon Cart,2020-03-31T11:43:44,2020-03-31T11:15:43,2020-03-31T11:11:37
2020-03-15T08:49:38,Jonathan.Lynch@comcastx.com,Jonathan,Lynch,1.0,1.0,Female,2020-03-31T19:20:46,,,Abandon Cart,2020-03-31T19:43:00,2020-03-16T09:29:45,2020-03-31T19:07:57
2020-03-12T20:15:53,Samuel.Nguyen@hotmailx.com,Samuel,Nguyen,2.0,6.0,Male,2020-03-12T13:29:06,Honolulu,Hawaii,Browse,2020-03-17T21:48:32,2020-03-17T21:19:03,2020-03-12T13:26:49
2020-03-09T03:04:45,Gregory.Weaver@aolx.com,Gregory,Weaver,4.0,3.0,Female,2020-03-19T12:19:53,,,Landing Page Loaded,2020-03-29T18:35:35,2020-03-19T12:26:49,2020-03-31T18:23:15
2020-03-11T12:06:50,Andrew.Green@comcastx.com,Andrew,Green,5.0,8.0,Female,2020-03-16T15:34:27,,,Complete Purchase,2020-03-31T23:55:20,2020-03-29T16:04:14,2020-03-29T16:21:20
2020-03-09T19:55:10,Jonathan.Ellis@outlookx.com,Jonathan,Ellis,2.0,3.0,Male,2020-03-12T21:07:22,,,Search,2020-03-29T20:03:41,2020-03-31T23:56:58,2020-03-19T10:53:36
2020-03-04T13:16:07,Rodney.Gibson@aolx.com,Timothea,Wildash,3.0,2.0,Male,2020-03-24T13:49:24,,,Item Detail Page,2020-03-29T23:09:07,2020-03-31T23:09:51,2020-03-29T22:41:09
2020-03-07T20:21:36,Stephanie.Allen@aolx.com,Stephanie,Allen,2.0,5.0,Female,2020-03-07T21:54:57,,,Landing Page Loaded,2020-03-07T22:23:16,2020-03-31T23:16:26,2020-03-29T12:04:29
2020-03-13T19:03:47,Stephanie.Reid@yahoox.com,Stephanie,Reid,3.0,3.0,Male,2020-03-13T18:39:00,Novorossiysk,Krasnodarskiy Kray,Abandon Cart,2020-03-17T16:57:13,2020-03-31T12:10:43,2020-03-16T16:06:51
2020-03-11T14:40:50,Louis.Perez@yahoox.com,Louis,Perez,3.0,4.0,Male,2020-03-13T21:30:08,Kiel,Schleswig-Holstein,Item Detail Page,2020-03-17T19:54:54,2020-03-31T23:44:48,2020-03-31T23:49:29
2020-03-14T10:16:14,Evelyn.Peters@yahoox.com,Evelyn,Peters,3.0,3.0,Female,2020-03-16T22:58:05,Raleigh,North Carolina,Add To Cart,2020-03-17T17:06:03,2020-03-31T23:06:57,2020-03-31T23:18:00
2020-03-12T22:07:29,Gloria.Mason@yahoox.com,Gloria,Mason,2.0,1.0,Female,2020-03-16T22:04:01,Morgan City,Louisiana,Add To Cart,2020-03-17T19:46:11,2020-03-31T23:12:25,2020-03-31T23:10:21
2020-03-08T16:37:31,Wendy.Meyer@hotmailx.com,Wendy,Meyer,4.0,6.0,Male,2020-03-07T13:38:56,Berlin,Land Berlin,Browse,2020-03-29T12:17:28,2020-03-19T13:45:29,2020-03-19T13:35:43
2020-03-02T19:35:00,Melissa.Gutierrez@comcastx.com,Ced,Coltart,5.0,4.0,Female,2020-03-19T09:53:33,Monmouth,Oregon,Item Detail Page,2020-03-24T09:39:59,,2020-03-29T08:49:40
2020-03-15T17:07:52,Leonard.Fernandez@outlookx.com,Leonard,Fernandez,,,,,,,Item Detail Page,2020-03-31T21:03:56,2020-03-17T15:16:39,2020-03-31T20:56:49
2020-03-07T02:31:57,Antonio.Simpson@yahoox.com,Antonio,Simpson,5.0,6.0,Female,2020-03-07T13:37:19,Mumbai,Maharashtra,Item Detail Page,2020-03-29T20:36:05,2020-03-31T22:18:52,2020-03-31T22:26:15
2020-03-10T14:28:56,Joshua.Howell@hotmailx.com,Joshua,Howell,2.0,,,,,,Complete Purchase,2020-03-31T23:29:39,2020-03-31T23:14:28,2020-03-29T16:30:56
2020-03-06T02:30:18,Adam.Tucker@gmailx.com,Adam,Tucker,4.0,8.0,Female,2020-03-07T18:46:57,,,Browse,2020-03-29T21:49:19,2020-03-31T23:06:40,2020-03-29T21:35:36
2020-03-05T17:19:50,Doris.Jordan@hotmailx.com,Dan,Stetlye,,,,,Ernakulam,Kerala,Search,,,
2020-03-13T22:18:47,James.Brewer@comcastx.com,James,Brewer,4.0,4.0,Male,2020-03-13T15:10:12,,,Search,2020-03-17T19:29:58,2020-03-31T22:55:22,2020-03-31T23:00:15
2020-03-10T20:29:57,Pamela.Long@aolx.com,Pamela,Long,1.0,4.0,Male,2020-03-14T00:03:19,Johnson City,Tennessee,Search Results,2020-03-29T23:07:37,2020-03-31T22:46:37,2020-03-29T22:36:10
2020-03-06T11:51:05,Angela.Anderson@aolx.com,Angela,Anderson,1.0,4.0,Female,2020-03-07T09:23:21,,,Review Payment,2020-03-19T14:49:53,2020-03-29T14:31:01,2020-03-19T14:23:42
2020-03-06T11:51:05,Angela.Anderson@aolx.com,Angela,Anderson,1.0,4.0,Female,2020-03-07T09:23:21,,,Search Results,2020-03-19T14:49:53,2020-03-31T22:51:47,2020-03-19T14:23:42
2020-03-10T13:47:44,Kim.Ramos@gmailx.com,Kim,Ramos,5.0,6.0,Female,2020-03-13T15:09:43,,,Add To Cart,2020-03-29T17:17:44,2020-03-29T16:57:07,2020-03-29T17:05:46
2020-03-15T18:58:14,Barbara.Gibson@comcastx.com,Barbara,Gibson,2.0,2.0,Female,2020-03-17T09:17:19,Shenzhen,Guangdong,Item Detail Page,,2020-03-31T23:18:29,
2020-03-10T23:18:16,Tiffany.Moore@yahoox.com,Tiffany,Moore,,,,,Winchester,Virginia,Search,,,
2020-03-08T08:48:42,Steven.Richards@outlookx.com,Steven,Richards,3.0,5.0,Female,2020-03-19T16:03:12,,,Abandon Cart,2020-03-31T11:28:04,2020-03-29T13:33:44,2020-03-31T10:56:43
2020-03-07T17:06:08,Michelle.Nelson@outlookx.com,Michelle,Nelson,3.0,3.0,Female,2020-03-29T16:27:43,,,Item Detail Page,2020-03-31T23:01:57,2020-03-31T22:25:48,2020-03-31T22:33:41
2020-03-09T23:59:52,Teresa.Allen@outlookx.com,Teresa,Allen,3.0,2.0,Male,2020-03-19T22:51:50,Plano,Texas,Complete Purchase,2020-03-31T22:59:09,2020-03-29T20:28:26,2020-03-31T22:37:25
2020-03-05T20:36:19,Don.Cunningham@gmailx.com,Joli,Newlyn,4.0,4.0,Male,2020-03-07T09:00:26,Pompano Beach,Florida,Item Detail Page,2020-03-31T23:30:07,2020-03-31T22:53:25,2020-03-31T22:56:46
2020-03-15T05:24:21,William.Ross@yahoox.com,William,Ross,2.0,5.0,Female,2020-03-17T18:04:33,,,Item Detail Page,2020-04-01T00:11:06,2020-03-31T23:50:06,2020-03-16T09:32:24
2020-03-14T06:14:54,Katherine.Cunningham@aolx.com,Katherine,Cunningham,2.0,4.0,Male,2020-03-13T09:02:32,St Petersburg,St.-Petersburg,Landing Page Loaded,2020-03-17T17:46:12,2020-03-31T22:59:58,2020-03-17T17:26:20
2020-03-03T15:26:42,Harry.Larson@hotmailx.com,Justinn,Busch,3.0,4.0,Female,2020-03-19T15:37:56,,,Item Detail Page,2020-04-01T00:23:55,2020-03-29T12:42:51,2020-03-31T23:49:50
2020-03-10T06:37:19,Ashley.Gordon@aolx.com,Ashley,Gordon,3.0,3.0,Male,2020-03-12T10:40:47,,,Share Item,2020-03-29T11:18:29,2020-03-31T23:50:58,2020-03-31T23:47:58
2020-03-11T06:10:04,Danny.Andrews@aolx.com,Danny,Andrews,3.0,6.0,Female,2020-03-16T22:24:58,Villa Dolores,Cordoba,Item Detail Page,2020-03-31T16:04:06,2020-03-31T15:41:25,2020-03-31T15:48:11
2020-03-05T22:26:13,Lois.Frazier@hotmailx.com,Lois,Frazier,3.0,2.0,Male,2020-03-29T18:22:19,,,Abandon Cart,2020-03-31T22:51:40,2020-03-24T21:48:31,2020-03-29T18:23:11
2020-03-06T02:30:18,Adam.Tucker@gmailx.com,Adam,Tucker,4.0,8.0,Female,2020-03-07T18:46:57,,,Account Created,2020-03-29T21:49:19,2020-03-29T21:10:10,2020-03-29T21:35:36
2020-03-11T17:12:33,Troy.Cole@gmailx.com,Troy,Cole,5.0,2.0,Male,2020-03-16T21:53:17,Abidjan,Abidjan,Item Detail Page,2020-03-31T18:37:50,2020-03-31T17:51:07,2020-03-31T18:13:07
2020-03-15T12:33:22,Todd.Armstrong@hotmailx.com,Todd,Armstrong,1.0,,,,,,Search Results,2020-03-17T09:31:23,2020-03-31T16:19:07,2020-03-17T09:06:23
2020-03-06T09:02:41,Aaron.Burton@yahoox.com,Aaron,Burton,1.0,3.0,Female,2020-03-29T08:54:49,Kuala Lumpur,Kuala Lumpur,Account Created,2020-03-24T14:01:56,2020-03-29T09:23:45,2020-03-29T09:15:49
2020-03-10T08:28:53,Larry.Allen@yahoox.com,Larry,Allen,4.0,6.0,Female,2020-03-13T09:58:29,Monaghan,County Monaghan,Item Detail Page,2020-04-01T00:30:48,2020-03-19T10:57:01,2020-03-29T18:16:00
2020-03-10T15:42:23,Michael.Patterson@gmailx.com,Michael,Patterson,5.0,1.0,Male,2020-03-29T15:38:50,Kako,Hyōgo,Search,2020-03-29T16:07:58,2020-03-19T11:53:26,2020-03-31T23:55:59
2020-03-11T16:58:45,Ryan.Sanders@outlookx.com,Ryan,Sanders,4.0,6.0,Female,2020-03-12T21:46:23,,Connecticut,Account Created,2020-03-29T21:13:00,2020-03-29T20:40:23,2020-03-31T23:49:48
2020-03-07T06:24:45,Anne.Powell@comcastx.com,Anne,Powell,5.0,4.0,Male,2020-03-07T16:27:12,Rockwall,Texas,Abandon Cart,2020-03-31T13:19:32,2020-03-19T16:20:11,2020-03-31T12:38:41
2020-03-09T09:12:34,Beverly.Marshall@comcastx.com,Beverly,Marshall,4.0,4.0,Male,2020-03-12T13:12:21,,,Abandon Cart,2020-03-29T17:48:22,2020-03-31T10:24:55,2020-03-29T17:24:45
2020-03-05T23:31:49,Angela.Oliver@hotmailx.com,Angela,Oliver,5.0,3.0,Female,2020-03-07T19:24:33,,,Abandon Cart,2020-03-31T10:10:05,2020-03-31T09:39:52,2020-03-31T09:43:14
2020-03-06T02:50:05,Alexander.Stevens@comcastx.com,Alexander,Stevens,2.0,5.0,Female,2020-03-19T08:15:37,,,Landing Page Loaded,2020-03-31T22:47:57,2020-03-29T18:16:20,2020-03-31T22:19:34
2020-03-10T07:09:31,Billy.Lopez@gmailx.com,Billy,Lopez,4.0,3.0,Female,2020-03-19T23:28:11,San Jose,California,Abandon Cart,2020-03-31T23:33:58,2020-03-31T23:00:17,2020-03-13T10:50:23
2020-03-06T22:46:43,Sherry.Austin@aolx.com,Sherry,Austin,,,,,,,Browse,2020-03-19T18:30:44,2020-03-24T23:26:11,2020-03-19T18:08:19
2020-03-05T22:21:31,Robert.Riley@gmailx.com,Robert,Riley,3.0,,,,Dublin,Leinster,Add To Cart,2020-03-25T00:12:00,2020-03-31T23:30:52,2020-03-31T23:37:59
2020-03-08T23:09:39,Gregory.Knight@aolx.com,Gregory,Knight,3.0,2.0,Male,2020-03-13T12:08:43,,,Item Detail Page,2020-03-31T23:47:46,2020-03-31T23:06:09,2020-03-31T23:06:38
2020-03-06T09:13:05,Anne.Watson@aolx.com,Anne,Watson,1.0,,,,Mos,Lugo,Item Detail Page,2020-03-29T12:58:32,2020-03-29T12:24:11,2020-03-29T12:26:11
2020-03-09T22:55:21,Cheryl.Graham@yahoox.com,Cheryl,Graham,4.0,8.0,Female,2020-03-13T19:38:01,Naples,Naples,Item Detail Page,2020-03-31T22:43:41,2020-03-29T18:54:12,2020-03-29T18:47:34
2020-03-06T08:24:59,Benjamin.Russell@aolx.com,Benjamin,Russell,4.0,3.0,Male,2020-03-07T18:37:43,Petaling Jaya,Selangor,Abandon Cart,2020-03-31T20:51:48,,2020-03-31T20:15:14
2020-03-10T12:34:39,Anna.Elliott@aolx.com,Anna,Elliott,3.0,5.0,Female,2020-03-12T14:19:40,,,Search Results,2020-03-19T20:58:02,2020-03-31T23:16:02,2020-03-19T20:09:38
2020-03-09T04:44:47,Alan.Reid@hotmailx.com,Alan,Reid,4.0,4.0,Male,2020-03-13T15:02:34,,Kharkivs'ka Oblast',Abandon Cart,2020-03-31T14:47:47,2020-03-19T21:48:10,2020-03-31T14:20:01
2020-03-07T06:42:23,Vincent.Bradley@yahoox.com,Vincent,Bradley,2.0,4.0,Female,2020-03-07T08:48:00,,,Complete Purchase,2020-03-31T22:56:24,2020-03-31T22:19:22,2020-03-31T22:36:54
2020-03-11T00:12:14,Julie.Morris@yahoox.com,Julie,Morris,3.0,5.0,Female,2020-03-12T20:26:02,Parma,Province of Parma,Abandon Cart,2020-03-31T18:20:41,2020-03-31T17:49:12,2020-03-17T22:59:05
2020-03-08T20:49:48,Juan.Fox@yahoox.com,Juan,Fox,6.0,7.0,Male,2020-03-07T11:48:14,,,Abandon Cart,2020-03-31T13:16:02,2020-03-31T12:50:34,2020-03-31T12:36:04
2020-03-07T03:15:50,Anna.Hart@outlookx.com,Anna,Hart,3.0,2.0,Male,2020-03-13T20:44:04,,,Item Detail Page,2020-03-29T22:28:28,2020-03-29T21:42:11,2020-03-31T23:55:16
2020-03-09T01:07:25,Theresa.Shaw@comcastx.com,Theresa,Shaw,4.0,2.0,Female,2020-03-12T09:25:17,,,Search Results,2020-03-29T09:14:58,2020-03-31T20:44:28,2020-03-13T11:21:30
2020-03-14T11:28:52,Tina.Gordon@yahoox.com,Tina,Gordon,2.0,5.0,Male,2020-03-16T17:45:26,Aubervilliers,Seine-Saint-Denis,Abandon Cart,2020-03-31T13:01:38,2020-03-31T12:28:21,
2020-03-09T00:00:42,Ashley.Jackson@comcastx.com,Ashley,Jackson,2.0,1.0,Female,2020-03-13T16:50:09,Caxias do Sul,Rio Grande do Sul,Browse,2020-03-19T23:25:43,2020-04-01T00:23:32,2020-04-01T00:07:41
2020-03-12T14:13:18,Crystal.Moreno@outlookx.com,Crystal,Moreno,4.0,7.0,Female,2020-03-12T20:42:15,Karachi,Sindh,Landing Page Loaded,2020-03-17T14:54:01,2020-03-31T23:08:18,2020-03-31T22:48:26
2020-03-07T00:40:04,Carolyn.Jacobs@hotmailx.com,Carolyn,Jacobs,2.0,2.0,Female,2020-03-29T12:02:25,Da Lat,Tinh Lam GJong,Abandon Cart,2020-03-31T23:27:13,2020-03-19T18:54:05,2020-03-29T12:18:31
2020-03-07T10:26:19,Rosa.Douglas@outlookx.com,Rosa,Douglas,3.0,2.0,Male,2020-03-19T13:34:10,,,Review Payment,2020-03-19T14:12:03,2020-03-24T18:03:17,2020-03-24T17:58:15
2020-03-09T03:56:38,Jane.Simmons@comcastx.com,Jane,Simmons,2.0,4.0,Female,2020-03-19T11:31:42,,,Abandon Cart,2020-03-31T13:12:59,2020-03-31T12:56:34,2020-03-19T11:39:06
2020-03-10T20:41:33,Timothy.James@aolx.com,Timothy,James,2.0,5.0,Male,2020-03-13T13:57:44,,,Abandon Cart,2020-03-29T22:14:49,2020-03-29T21:38:57,2020-03-19T20:07:52
2020-03-08T22:41:16,Carmen.Lopez@hotmailx.com,Carmen,Lopez,2.0,4.0,Male,2020-03-12T12:49:57,,,Landing Page Loaded,2020-03-29T09:31:10,2020-03-31T09:22:47,2020-03-31T09:46:18
2020-03-06T22:00:55,Lori.Simmons@gmailx.com,Lori,Simmons,1.0,1.0,Female,2020-03-19T18:10:27,São Paulo,Sao Paulo,Review Payment,2020-03-29T14:01:00,2020-03-31T22:55:49,
2020-03-07T20:21:36,Stephanie.Allen@aolx.com,Stephanie,Allen,3.0,5.0,Female,2020-03-07T21:54:57,,,Item Detail Page,2020-04-01T00:01:08,2020-03-31T23:16:26,2020-03-29T12:04:29
2020-03-09T13:39:15,Jesse.Elliott@hotmailx.com,Jesse,Elliott,2.0,2.0,Male,2020-03-13T22:25:29,,,Item Detail Page,2020-03-29T17:50:37,2020-03-31T11:24:58,2020-03-19T09:40:27
2020-03-07T06:24:45,Anne.Powell@comcastx.com,Anne,Powell,5.0,4.0,Male,2020-03-07T16:27:12,Rockwall,Texas,Abandon Cart,2020-03-31T13:19:32,2020-03-19T16:20:11,2020-03-31T12:38:41
2020-03-09T15:28:47,Eugene.Harrison@yahoox.com,Eugene,Harrison,3.0,6.0,Male,2020-03-12T09:29:03,Wimbledon,Merton,Item Detail Page,2020-03-13T09:47:49,2020-03-19T12:00:28,2020-03-29T08:45:21
2020-03-08T19:10:15,Bruce.Fuller@gmailx.com,Bruce,Fuller,3.0,3.0,Female,2020-03-19T23:46:12,,,Item Detail Page,2020-03-31T16:22:26,2020-03-31T15:53:38,2020-03-30T00:02:50
2020-03-09T17:24:47,Peter.Garza@hotmailx.com,Peter,Garza,4.0,2.0,Female,2020-03-12T08:47:37,Nanchang,Jiangxi,Review Payment,2020-03-29T20:59:01,2020-03-29T20:37:58,2020-03-31T23:53:29
2020-03-10T19:51:35,Nancy.Bennett@hotmailx.com,Nancy,Bennett,4.0,4.0,Female,2020-03-12T15:02:54,,,Add To Cart,2020-03-29T22:34:31,2020-03-31T22:32:11,2020-03-31T22:45:42
2020-03-10T11:22:16,Jacqueline.James@comcastx.com,Jacqueline,James,5.0,3.0,Male,2020-03-12T12:18:57,,Shanghai,Abandon Cart,2020-03-31T23:09:47,2020-03-31T22:37:26,2020-03-31T22:44:26
2020-03-15T15:22:26,Ryan.Duncan@gmailx.com,Ryan,Duncan,1.0,1.0,Male,2020-03-17T09:41:51,,,Add To Cart,2020-03-17T10:10:14,2020-03-17T09:36:23,2020-03-16T14:14:22
2020-03-12T07:27:37,Jeffrey.Harvey@hotmailx.com,Jeffrey,Harvey,2.0,4.0,Female,2020-03-13T10:13:19,,,Review Payment,2020-03-18T00:19:12,2020-03-17T23:35:03,2020-03-31T23:54:37
2020-03-15T15:22:26,Ryan.Duncan@gmailx.com,Ryan,Duncan,1.0,2.0,Male,2020-03-17T09:41:51,,,Landing Page Loaded,2020-03-17T10:10:14,2020-03-31T23:32:44,2020-03-31T23:27:06
2020-03-05T23:16:28,Walter.Ross@hotmailx.com,Walter,Ross,2.0,1.0,Male,2020-03-24T18:49:13,,,Item Detail Page,2020-03-19T11:33:07,2020-03-29T16:22:23,2020-03-29T16:21:40
2020-03-03T00:56:07,Craig.Palmer@outlookx.com,Carine,Schmitt,3.0,1.0,Male,2020-03-20T17:36:12,,,Share Item,2020-03-20T17:48:24,2020-03-07T07:59:55,2020-03-29T15:48:08
2020-03-15T21:53:30,Raymond.Welch@hotmailx.com,Raymond,Welch,2.0,2.0,Male,2020-03-16T13:13:49,Philadelphia,Pennsylvania,Abandon Cart,2020-03-31T09:37:47,2020-03-17T11:13:50,2020-03-31T09:06:01
2020-03-09T10:40:12,Chris.Stewart@outlookx.com,Chris,Stewart,2.0,4.0,Female,2020-03-29T09:42:19,Foshan,Guangdong,Abandon Cart,2020-03-31T15:30:28,2020-03-29T09:35:30,2020-03-31T14:41:27
